image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,1,0.784585,car,car,True
drive_022,2,3,0.797166,car,car,True
drive_022,3,4,0.7641,car,car,True
drive_022,4,2,0.846491,bus,van,False
drive_022,5,5,0.663577,truck,bus,False
drive_033,2,9,0.728647,car,car,True
drive_033,5,4,0.561612,car,car,True
drive_033,6,3,0.512511,car,car,True
drive_033,7,7,0.593755,car,car,True
drive_033,8,5,0.65193,car,car,True
drive_033,13,6,0.686582,car,car,True
drive_033,14,8,0.778005,car,car,True
drive_033,15,10,0.839199,car,car,True
drive_033,16,11,0.872827,car,car,True
drive_033,29,2,0.81129,truck,bus,False
drive_033,30,1,0.935616,bus,van,False
drive_033,31,12,0.698923,bus,van,False
drive_038,1,2,0.794686,car,car,True
drive_038,2,3,0.844957,car,car,True
drive_038,3,4,0.882154,car,car,True
drive_038,4,1,0.861345,car,car,True
drive_038,5,17,0.859717,car,car,True
drive_038,6,16,0.772328,car,car,True
drive_038,7,8,0.82138,car,car,True
drive_038,8,10,0.819594,car,car,True
drive_038,9,14,0.906201,car,car,True
drive_038,10,13,0.801711,car,car,True
drive_038,11,7,0.910829,car,car,True
drive_038,12,11,0.712698,car,car,True
drive_038,13,6,0.752708,car,car,True
drive_038,14,12,0.703494,car,car,True
drive_038,24,5,0.807969,van,bus,False
drive_038,25,15,0.877377,van,truck,False
drive_008,1,6,0.872307,car,car,True
drive_008,2,4,0.756218,car,car,True
drive_008,3,16,0.869638,car,car,True
drive_008,4,11,0.755681,car,car,True
drive_008,5,2,0.864852,car,car,True
drive_008,9,1,0.779577,truck,bus,False
drive_008,10,3,0.857105,van,truck,False
drive_008,11,12,0.578716,van,truck,False
drive_008,12,5,0.748468,van,truck,False
drive_008,14,9,0.944237,bus,van,False
drive_008,21,14,0.787897,car,car,True
drive_008,22,13,0.615543,car,car,True
drive_008,23,7,0.83352,car,car,True
drive_008,25,15,0.363539,car,car,True
